element_name;weight;category;touch_count
meeting_specifications;0.0;table_stakes;30997
acceptable_price;0.0;table_stakes;30997
regulatory_compliance;0.0;table_stakes;30997
ethical_standards;0.0;table_stakes;30997
cost_reduction;0.4857472071132843;functional;30997
improved_top_line;0.37824181255559436;functional;30997
product_quality;0.7663683147258923;functional;30997
scalability;0.4307681473005084;functional;30997
innovation;0.4103079316376213;functional;30997
time_savings;0.20829379285915967;ease_of_doing_business;30997
reduced_effort;0.2379460581499713;ease_of_doing_business;30997
decreased_hassles;0.2884550056191491;ease_of_doing_business;30997
simplification;0.28337815573962766;ease_of_doing_business;30997
organization;0.2543477380743995;ease_of_doing_business;30997
responsiveness;0.6085011112976605;ease_of_doing_business;30997
expertise;0.6019426077801642;ease_of_doing_business;30997
availability;0.34111096973652727;ease_of_doing_business;30997
commitment;0.4288940834459599;ease_of_doing_business;30997
stability;0.3641387675038874;ease_of_doing_business;30997
cultural_fit;0.2983283869121915;ease_of_doing_business;30997
integration;0.3245052058088984;ease_of_doing_business;30997
risk_reduction;0.5047622495039241;ease_of_doing_business;30997
reduced_anxiety;0.23647315277764608;individual;30997
design_aesthetics;0.18655228544953784;individual;30997
growth_development;0.15390955424245412;individual;30997
fun_perks;0.12396353336147697;individual;30997
marketability;0.3612350822896144;individual;30997
network_expansion;0.23262872737137835;individual;30997
reputational_assurance;0.4315785527562823;individual;30997
vision;0.15144166385224703;inspirational;30997
hope;0.21110700611110658;inspirational;30997
social_responsibility;0.3375157211435929;inspirational;30997
purpose;0.19315605250990767;inspirational;30997
