Total_Transactions,Average_Value_Score,Market_Concentration,Buyer_States,Seller_States
0,0.0,0.0,"{'NOT_INTERESTED': 22, 'EVALUATING': 8}","{'PROSPECTING': 6, 'QUALIFYING': 4}"
29,0.005098705233858173,0.5862068965517241,"{'NOT_INTERESTED': 17, 'EVALUATING': 7, 'BUDGETING': 6}","{'PROSPECTING': 3, 'QUALIFYING': 5, 'PROPOSING': 2}"
59,0.002506143250540458,0.5932203389830508,"{'EVALUATING': 10, 'BUDGETING': 4, 'NOT_INTERESTED': 13, 'DECIDING': 3}","{'QUALIFYING': 8, 'NEGOTIATING': 1, 'PROPOSING': 1}"
89,0.0049392324931905075,0.6404494382022472,"{'EVALUATING': 12, 'DECIDING': 3, 'BUDGETING': 4, 'NOT_INTERESTED': 11}","{'QUALIFYING': 4, 'PROPOSING': 5, 'NEGOTIATING': 1}"
119,0.012866698558847364,0.4957983193277311,"{'BUDGETING': 10, 'DECIDING': 2, 'NOT_INTERESTED': 15, 'EVALUATING': 3}","{'PROPOSING': 3, 'NEGOTIATING': 5, 'QUALIFYING': 2}"
149,0.019503856611213094,0.3959731543624161,"{'DECIDING': 5, 'BUDGETING': 5, 'GO_NOGO': 1, 'NOT_INTERESTED': 11, 'EVALUATING': 8}","{'CLOSING': 4, 'NEGOTIATING': 4, 'QUALIFYING': 2}"
179,0.021353921379387842,0.3463687150837989,"{'BUDGETING': 3, 'EVALUATING': 8, 'DELIVERED': 1, 'NOT_INTERESTED': 12, 'GO_NOGO': 2, 'DECIDING': 4}","{'CLOSING': 3, 'NEGOTIATING': 3, 'PROPOSING': 2, 'MAINTAINING': 2}"
209,0.02410453371704283,0.3923444976076555,"{'DECIDING': 5, 'EVALUATING': 10, 'SATISFIED': 1, 'NOT_INTERESTED': 9, 'DELIVERED': 1, 'BUDGETING': 3, 'GO_NOGO': 1}","{'CLOSING': 1, 'MAINTAINING': 3, 'NEGOTIATING': 3, 'PROPOSING': 1, 'PROSPECTING': 1, 'QUALIFYING': 1}"
239,0.02351937308444729,0.45188284518828453,"{'DECIDING': 2, 'BUDGETING': 6, 'SATISFIED': 2, 'EVALUATING': 5, 'NOT_INTERESTED': 13, 'DELIVERED': 1, 'GO_NOGO': 1}","{'MAINTAINING': 3, 'CLOSING': 2, 'PROPOSING': 2, 'NEGOTIATING': 1, 'QUALIFYING': 1, 'PROSPECTING': 1}"
269,0.02310879144514997,0.40148698884758366,"{'BUDGETING': 5, 'DECIDING': 3, 'SATISFIED': 2, 'EVALUATING': 9, 'DISSATISFIED': 1, 'NOT_INTERESTED': 8, 'DELIVERED': 1, 'GO_NOGO': 1}","{'MAINTAINING': 4, 'NEGOTIATING': 3, 'PROPOSING': 1, 'PROSPECTING': 2}"
299,0.022456496436701525,0.3612040133779264,"{'NOT_INTERESTED': 8, 'DECIDING': 4, 'SATISFIED': 3, 'GO_NOGO': 2, 'EVALUATING': 6, 'DISSATISFIED': 1, 'BUDGETING': 5, 'DELIVERED': 1}","{'MAINTAINING': 1, 'PROSPECTING': 3, 'PROPOSING': 1, 'NEGOTIATING': 2, 'CLOSING': 1, 'QUALIFYING': 2}"
329,0.021624137792037038,0.3282674772036474,"{'NOT_INTERESTED': 14, 'DECIDING': 2, 'SATISFIED': 2, 'DELIVERED': 1, 'BUDGETING': 3, 'DISSATISFIED': 3, 'EVALUATING': 4, 'GO_NOGO': 1}","{'MAINTAINING': 2, 'PROSPECTING': 3, 'QUALIFYING': 3, 'CLOSING': 1, 'NEGOTIATING': 1}"
359,0.01981710677877489,0.3008356545961003,"{'NOT_INTERESTED': 14, 'GO_NOGO': 2, 'SATISFIED': 4, 'BUDGETING': 2, 'DELIVERED': 1, 'EVALUATING': 5, 'DISSATISFIED': 2}","{'PROSPECTING': 4, 'QUALIFYING': 3, 'CLOSING': 2, 'MAINTAINING': 1}"
