Total_Transactions,Average_Value_Score,Market_Concentration,Buyer_States,Seller_States
0,0,0,"{'NOT_INTERESTED': 24, 'EVALUATING': 6}","{'PROSPECTING': 3, 'QUALIFYING': 7}"
0,0,0,"{'EVALUATING': 9, 'NOT_INTERESTED': 19, 'BUDGETING': 2}","{'PROSPECTING': 1, 'QUALIFYING': 7, 'PROPOSING': 2}"
0,0,0,"{'EVALUATING': 9, 'NOT_INTERESTED': 18, 'BUDGETING': 3}","{'PROSPECTING': 1, 'QUALIFYING': 5, 'PROPOSING': 3, 'NEGOTIATING': 1}"
0,0,0,"{'NOT_INTERESTED': 14, 'EVALUATING': 11, 'BUDGETING': 5}","{'QUALIFYING': 6, 'NEGOTIATING': 2, 'CLOSING': 1, 'PROPOSING': 1}"
0,0,0,"{'NOT_INTERESTED': 15, 'EVALUATING': 9, 'BUDGETING': 4, 'DECIDING': 2}","{'QUALIFYING': 4, 'NEGOTIATING': 2, 'MAINTAINING': 1, 'PROPOSING': 3}"
0,0,0,"{'EVALUATING': 4, 'NOT_INTERESTED': 17, 'BUDGETING': 6, 'DECIDING': 3}","{'QUALIFYING': 3, 'PROPOSING': 2, 'NEGOTIATING': 4, 'MAINTAINING': 1}"
0,0,0,"{'NOT_INTERESTED': 14, 'EVALUATING': 10, 'BUDGETING': 2, 'DECIDING': 4}","{'QUALIFYING': 3, 'NEGOTIATING': 2, 'PROPOSING': 2, 'MAINTAINING': 1, 'CLOSING': 2}"
0,0,0,"{'NOT_INTERESTED': 19, 'EVALUATING': 4, 'BUDGETING': 5, 'DECIDING': 2}","{'QUALIFYING': 3, 'NEGOTIATING': 3, 'CLOSING': 1, 'PROSPECTING': 1, 'MAINTAINING': 2}"
0,0,0,"{'NOT_INTERESTED': 15, 'EVALUATING': 8, 'BUDGETING': 5, 'DECIDING': 2}","{'QUALIFYING': 4, 'NEGOTIATING': 2, 'PROPOSING': 1, 'MAINTAINING': 1, 'PROSPECTING': 2}"
0,0,0,"{'NOT_INTERESTED': 8, 'EVALUATING': 14, 'GO_NOGO': 2, 'BUDGETING': 3, 'DECIDING': 3}","{'QUALIFYING': 4, 'NEGOTIATING': 3, 'MAINTAINING': 1, 'PROSPECTING': 1, 'PROPOSING': 1}"
0,0,0,"{'NOT_INTERESTED': 14, 'BUDGETING': 7, 'DECIDING': 2, 'EVALUATING': 4, 'GO_NOGO': 2, 'DELIVERED': 1}","{'QUALIFYING': 2, 'NEGOTIATING': 4, 'PROSPECTING': 2, 'PROPOSING': 2}"
