Total_Transactions,Average_Value_Score,Market_Concentration,Buyer_States,Seller_States
0,0.0,0.0,"{'EVALUATING': 8, 'NOT_INTERESTED': 22}","{'PROSPECTING': 6, 'QUALIFYING': 4}"
29,0.0037393771936789994,1.0,"{'NOT_INTERESTED': 18, 'BUDGETING': 2, 'EVALUATING': 10}","{'QUALIFYING': 6, 'PROSPECTING': 3, 'PROPOSING': 1}"
59,0.0018379989596049317,0.7796610169491526,"{'NOT_INTERESTED': 14, 'EVALUATING': 12, 'BUDGETING': 4}","{'PROPOSING': 3, 'PROSPECTING': 3, 'QUALIFYING': 3, 'NEGOTIATING': 1}"
89,0.004072928738009681,0.5280898876404494,"{'NOT_INTERESTED': 16, 'EVALUATING': 9, 'BUDGETING': 4, 'DECIDING': 1}","{'NEGOTIATING': 2, 'PROSPECTING': 1, 'PROPOSING': 2, 'QUALIFYING': 5}"
119,0.012085144261581554,0.4957983193277311,"{'NOT_INTERESTED': 13, 'EVALUATING': 9, 'BUDGETING': 8}","{'NEGOTIATING': 3, 'PROSPECTING': 1, 'QUALIFYING': 4, 'PROPOSING': 2}"
149,0.0164373273763659,0.5503355704697986,"{'NOT_INTERESTED': 14, 'BUDGETING': 6, 'EVALUATING': 8, 'DECIDING': 2}","{'PROPOSING': 4, 'QUALIFYING': 3, 'CLOSING': 1, 'NEGOTIATING': 2}"
179,0.017925648737782296,0.5865921787709497,"{'NOT_INTERESTED': 10, 'BUDGETING': 7, 'EVALUATING': 11, 'DECIDING': 2}","{'NEGOTIATING': 3, 'QUALIFYING': 2, 'PROPOSING': 3, 'CLOSING': 2}"
209,0.02197909216175927,0.5933014354066986,"{'EVALUATING': 7, 'DECIDING': 2, 'BUDGETING': 8, 'NOT_INTERESTED': 12, 'GO_NOGO': 1}","{'NEGOTIATING': 1, 'PROPOSING': 4, 'MAINTAINING': 2, 'CLOSING': 2, 'QUALIFYING': 1}"
239,0.023528624203905845,0.606694560669456,"{'NOT_INTERESTED': 10, 'GO_NOGO': 1, 'DECIDING': 4, 'DELIVERED': 1, 'EVALUATING': 10, 'BUDGETING': 4}","{'NEGOTIATING': 2, 'PROPOSING': 3, 'CLOSING': 1, 'PROSPECTING': 2, 'MAINTAINING': 2}"
269,0.023994708438738785,0.620817843866171,"{'EVALUATING': 6, 'NOT_INTERESTED': 13, 'DECIDING': 4, 'SATISFIED': 1, 'BUDGETING': 6}","{'CLOSING': 3, 'QUALIFYING': 1, 'MAINTAINING': 1, 'PROSPECTING': 4, 'PROPOSING': 1}"
299,0.02200468581145752,0.5953177257525084,"{'NOT_INTERESTED': 10, 'GO_NOGO': 1, 'SATISFIED': 1, 'EVALUATING': 13, 'BUDGETING': 2, 'DECIDING': 3}","{'MAINTAINING': 4, 'QUALIFYING': 2, 'PROSPECTING': 3, 'NEGOTIATING': 1}"
329,0.021320739397171957,0.541033434650456,"{'NOT_INTERESTED': 10, 'DELIVERED': 1, 'SATISFIED': 1, 'BUDGETING': 6, 'DECIDING': 3, 'EVALUATING': 8, 'GO_NOGO': 1}","{'PROSPECTING': 4, 'QUALIFYING': 4, 'MAINTAINING': 1, 'CLOSING': 1}"
359,0.02058123940529939,0.4958217270194986,"{'NOT_INTERESTED': 12, 'EVALUATING': 4, 'SATISFIED': 2, 'DECIDING': 2, 'BUDGETING': 8, 'DELIVERED': 1, 'GO_NOGO': 1}","{'PROSPECTING': 4, 'PROPOSING': 2, 'QUALIFYING': 2, 'MAINTAINING': 2}"
389,0.019476447518378417,0.45758354755784064,"{'NOT_INTERESTED': 11, 'BUDGETING': 7, 'SATISFIED': 3, 'EVALUATING': 5, 'GO_NOGO': 1, 'DECIDING': 2, 'DELIVERED': 1}","{'PROSPECTING': 5, 'NEGOTIATING': 2, 'PROPOSING': 1, 'QUALIFYING': 2}"
419,0.01900346997613632,0.42482100238663484,"{'NOT_INTERESTED': 13, 'EVALUATING': 7, 'SATISFIED': 3, 'DECIDING': 2, 'BUDGETING': 3, 'GO_NOGO': 1, 'DISSATISFIED': 1}","{'PROSPECTING': 2, 'NEGOTIATING': 2, 'QUALIFYING': 5, 'PROPOSING': 1}"
449,0.018983501289011953,0.39643652561247217,"{'EVALUATING': 7, 'BUDGETING': 4, 'DISSATISFIED': 2, 'NOT_INTERESTED': 11, 'SATISFIED': 2, 'DECIDING': 4}","{'QUALIFYING': 7, 'CLOSING': 2, 'NEGOTIATING': 1}"
