Run,Current State,Current Step Number,Next State,Next Step Number
1,Prospecting,1,Prospecting,2
1,Prospecting,2,Prospecting,3
1,Prospecting,3,Prospecting,4
1,Prospecting,4,Prospecting,5
1,Prospecting,5,Prospecting,6
1,Prospecting,6,Prospecting,7
1,Prospecting,7,Prospecting,8
1,Prospecting,8,Prospecting,9
1,Prospecting,9,Prospecting,10
1,Prospecting,10,Prospecting,11
1,Prospecting,11,Prospecting,12
1,Prospecting,12,Prospecting,13
1,Prospecting,13,Prospecting,14
1,Prospecting,14,Qualifying,15
1,Qualifying,15,Qualifying,16
1,Qualifying,16,Qualifying,17
1,Qualifying,17,Qualifying,18
1,Qualifying,18,Proposing,19
1,Proposing,19,Closing,20
1,Closing,20,Closing,21
1,Closing,21,Prospecting,22
1,Prospecting,22,Prospecting,23
1,Prospecting,23,Prospecting,24
1,Prospecting,24,Prospecting,25
1,Prospecting,25,Prospecting,26
1,Prospecting,26,Qualifying,27
1,Qualifying,27,Proposing,28
1,Proposing,28,Closing,29
1,Closing,29,Proposing,30
1,Proposing,30,Closing,31
1,Closing,31,Maintaining,32
2,Prospecting,1,Prospecting,2
2,Prospecting,2,Prospecting,3
2,Prospecting,3,Prospecting,4
2,Prospecting,4,Prospecting,5
2,Prospecting,5,Prospecting,6
2,Prospecting,6,Qualifying,7
2,Qualifying,7,Qualifying,8
2,Qualifying,8,Qualifying,9
2,Qualifying,9,Proposing,10
2,Proposing,10,Proposing,11
2,Proposing,11,Proposing,12
2,Proposing,12,Proposing,13
2,Proposing,13,Proposing,14
2,Proposing,14,Negotiating,15
2,Negotiating,15,Closing,16
2,Closing,16,Proposing,17
2,Proposing,17,Negotiating,18
2,Negotiating,18,Proposing,19
2,Proposing,19,Closing,20
2,Closing,20,Maintaining,21
3,Prospecting,1,Prospecting,2
3,Prospecting,2,Qualifying,3
3,Qualifying,3,Proposing,4
3,Proposing,4,Negotiating,5
3,Negotiating,5,Closing,6
3,Closing,6,Maintaining,7
4,Prospecting,1,Prospecting,2
4,Prospecting,2,Prospecting,3
4,Prospecting,3,Prospecting,4
4,Prospecting,4,Prospecting,5
4,Prospecting,5,Prospecting,6
4,Prospecting,6,Qualifying,7
4,Qualifying,7,Qualifying,8
4,Qualifying,8,Proposing,9
4,Proposing,9,Qualifying,10
4,Qualifying,10,Qualifying,11
4,Qualifying,11,Qualifying,12
4,Qualifying,12,Proposing,13
4,Proposing,13,Negotiating,14
4,Negotiating,14,Negotiating,15
4,Negotiating,15,Proposing,16
4,Proposing,16,Negotiating,17
4,Negotiating,17,Proposing,18
4,Proposing,18,Negotiating,19
4,Negotiating,19,Closing,20
4,Closing,20,Maintaining,21
5,Prospecting,1,Prospecting,2
5,Prospecting,2,Qualifying,3
5,Qualifying,3,Qualifying,4
5,Qualifying,4,Proposing,5
5,Proposing,5,Proposing,6
5,Proposing,6,Negotiating,7
5,Negotiating,7,Closing,8
5,Closing,8,Maintaining,9
6,Prospecting,1,Prospecting,2
6,Prospecting,2,Prospecting,3
6,Prospecting,3,Qualifying,4
6,Qualifying,4,Qualifying,5
6,Qualifying,5,Proposing,6
6,Proposing,6,Proposing,7
6,Proposing,7,Negotiating,8
6,Negotiating,8,Closing,9
6,Closing,9,Maintaining,10
7,Prospecting,1,Prospecting,2
7,Prospecting,2,Prospecting,3
7,Prospecting,3,Qualifying,4
7,Qualifying,4,Proposing,5
7,Proposing,5,Proposing,6
7,Proposing,6,Negotiating,7
7,Negotiating,7,Negotiating,8
7,Negotiating,8,Proposing,9
7,Proposing,9,Proposing,10
7,Proposing,10,Negotiating,11
7,Negotiating,11,Negotiating,12
7,Negotiating,12,Proposing,13
7,Proposing,13,Closing,14
7,Closing,14,Closing,15
7,Closing,15,Prospecting,16
7,Prospecting,16,Qualifying,17
7,Qualifying,17,Qualifying,18
7,Qualifying,18,Proposing,19
7,Proposing,19,Proposing,20
7,Proposing,20,Negotiating,21
7,Negotiating,21,Negotiating,22
7,Negotiating,22,Negotiating,23
7,Negotiating,23,Negotiating,24
7,Negotiating,24,Closing,25
7,Closing,25,Prospecting,26
7,Prospecting,26,Prospecting,27
7,Prospecting,27,Qualifying,28
7,Qualifying,28,Proposing,29
7,Proposing,29,Proposing,30
7,Proposing,30,Negotiating,31
7,Negotiating,31,Closing,32
7,Closing,32,Maintaining,33
8,Prospecting,1,Qualifying,2
8,Qualifying,2,Proposing,3
8,Proposing,3,Qualifying,4
8,Qualifying,4,Qualifying,5
8,Qualifying,5,Qualifying,6
8,Qualifying,6,Qualifying,7
8,Qualifying,7,Qualifying,8
8,Qualifying,8,Qualifying,9
8,Qualifying,9,Proposing,10
8,Proposing,10,Proposing,11
8,Proposing,11,Qualifying,12
8,Qualifying,12,Qualifying,13
8,Qualifying,13,Qualifying,14
8,Qualifying,14,Qualifying,15
8,Qualifying,15,Qualifying,16
8,Qualifying,16,Qualifying,17
8,Qualifying,17,Qualifying,18
8,Qualifying,18,Proposing,19
8,Proposing,19,Proposing,20
8,Proposing,20,Closing,21
8,Closing,21,Closing,22
8,Closing,22,Maintaining,23
9,Prospecting,1,Qualifying,2
9,Qualifying,2,Proposing,3
9,Proposing,3,Negotiating,4
9,Negotiating,4,Negotiating,5
9,Negotiating,5,Negotiating,6
9,Negotiating,6,Closing,7
9,Closing,7,Maintaining,8
10,Prospecting,1,Prospecting,2
10,Prospecting,2,Prospecting,3
10,Prospecting,3,Prospecting,4
10,Prospecting,4,Prospecting,5
10,Prospecting,5,Prospecting,6
10,Prospecting,6,Prospecting,7
10,Prospecting,7,Prospecting,8
10,Prospecting,8,Qualifying,9
10,Qualifying,9,Qualifying,10
10,Qualifying,10,Qualifying,11
10,Qualifying,11,Qualifying,12
10,Qualifying,12,Proposing,13
10,Proposing,13,Negotiating,14
10,Negotiating,14,Negotiating,15
10,Negotiating,15,Closing,16
10,Closing,16,Maintaining,17
