Run,Current State,Current Step Number,Next State,Next Step Number
1,Prospecting,1,Qualifying,2
1,Qualifying,2,Qualifying,3
1,Qualifying,3,Qualifying,4
1,Qualifying,4,Qualifying,5
1,Qualifying,5,Proposing,6
1,Proposing,6,Negotiating,7
1,Negotiating,7,Negotiating,8
1,Negotiating,8,Negotiating,9
1,Negotiating,9,Proposing,10
1,Proposing,10,Negotiating,11
1,Negotiating,11,Negotiating,12
1,Negotiating,12,Closing,13
1,Closing,13,Maintaining,14
2,Prospecting,1,Qualifying,2
2,Qualifying,2,Qualifying,3
2,Qualifying,3,Proposing,4
2,Proposing,4,Closing,5
2,Closing,5,Prospecting,6
2,Prospecting,6,Prospecting,7
2,Prospecting,7,Qualifying,8
2,Qualifying,8,Proposing,9
2,Proposing,9,Negotiating,10
2,Negotiating,10,Negotiating,11
2,Negotiating,11,Negotiating,12
2,Negotiating,12,Negotiating,13
2,Negotiating,13,Closing,14
2,Closing,14,Maintaining,15
3,Prospecting,1,Prospecting,2
3,Prospecting,2,Prospecting,3
3,Prospecting,3,Prospecting,4
3,Prospecting,4,Prospecting,5
3,Prospecting,5,Qualifying,6
3,Qualifying,6,Qualifying,7
3,Qualifying,7,Qualifying,8
3,Qualifying,8,Qualifying,9
3,Qualifying,9,Qualifying,10
3,Qualifying,10,Qualifying,11
3,Qualifying,11,Proposing,12
3,Proposing,12,Negotiating,13
3,Negotiating,13,Proposing,14
3,Proposing,14,Negotiating,15
3,Negotiating,15,Proposing,16
3,Proposing,16,Negotiating,17
3,Negotiating,17,Closing,18
3,Closing,18,Maintaining,19
4,Prospecting,1,Qualifying,2
4,Qualifying,2,Proposing,3
4,Proposing,3,Closing,4
4,Closing,4,Proposing,5
4,Proposing,5,Negotiating,6
4,Negotiating,6,Proposing,7
4,Proposing,7,Proposing,8
4,Proposing,8,Negotiating,9
4,Negotiating,9,Closing,10
4,Closing,10,Maintaining,11
5,Prospecting,1,Prospecting,2
5,Prospecting,2,Prospecting,3
5,Prospecting,3,Prospecting,4
5,Prospecting,4,Prospecting,5
5,Prospecting,5,Prospecting,6
5,Prospecting,6,Qualifying,7
5,Qualifying,7,Proposing,8
5,Proposing,8,Closing,9
5,Closing,9,Maintaining,10
6,Prospecting,1,Prospecting,2
6,Prospecting,2,Prospecting,3
6,Prospecting,3,Qualifying,4
6,Qualifying,4,Proposing,5
6,Proposing,5,Closing,6
6,Closing,6,Maintaining,7
7,Prospecting,1,Qualifying,2
7,Qualifying,2,Qualifying,3
7,Qualifying,3,Qualifying,4
7,Qualifying,4,Qualifying,5
7,Qualifying,5,Proposing,6
7,Proposing,6,Proposing,7
7,Proposing,7,Qualifying,8
7,Qualifying,8,Qualifying,9
7,Qualifying,9,Qualifying,10
7,Qualifying,10,Qualifying,11
7,Qualifying,11,Qualifying,12
7,Qualifying,12,Proposing,13
7,Proposing,13,Closing,14
7,Closing,14,Maintaining,15
8,Prospecting,1,Qualifying,2
