Current State,Current Step Number,Next State,Next Step Number
Prospecting,1,Qualifying,2
Qualifying,2,Qualifying,3
Qualifying,3,Qualifying,4
Qualifying,4,Proposing,5
Proposing,5,Qualifying,6
Qualifying,6,Proposing,7
Proposing,7,Proposing,8
Proposing,8,Negotiating,9
Negotiating,9,Proposing,10
Proposing,10,Negotiating,11
Negotiating,11,Negotiating,12
Negotiating,12,Proposing,13
Proposing,13,Negotiating,14
Negotiating,14,Proposing,15
Proposing,15,Proposing,16
Proposing,16,Negotiating,17
Negotiating,17,Proposing,18
Proposing,18,Proposing,19
Proposing,19,Proposing,20
Proposing,20,Negotiating,21
Negotiating,21,Closing,22
Closing,22,Closing,23
Closing,23,Proposing,24
Proposing,24,Proposing,25
Proposing,25,Qualifying,26
Qualifying,26,Proposing,27
Proposing,27,Proposing,28
Proposing,28,Proposing,29
Proposing,29,Proposing,30
Proposing,30,Qualifying,31
Qualifying,31,Qualifying,32
Qualifying,32,Qualifying,33
Qualifying,33,Maintaining,34
