Run,Current State,Current Step Number,Next State,Next Step Number
1,Prospecting,1,Prospecting,2
1,Prospecting,2,Prospecting,3
1,Prospecting,3,Prospecting,4
1,Prospecting,4,Prospecting,5
1,Prospecting,5,Qualifying,6
1,Qualifying,6,Qualifying,7
1,Qualifying,7,Qualifying,8
1,Qualifying,8,Proposing,9
1,Proposing,9,Proposing,10
1,Proposing,10,Closing,11
1,Closing,11,Proposing,12
1,Proposing,12,Negotiating,13
1,Negotiating,13,Negotiating,14
1,Negotiating,14,Proposing,15
1,Proposing,15,Negotiating,16
1,Negotiating,16,Proposing,17
1,Proposing,17,Qualifying,18
1,Qualifying,18,Proposing,19
1,Proposing,19,Proposing,20
1,Proposing,20,Negotiating,21
1,Negotiating,21,Closing,22
1,Closing,22,Maintaining,23
2,Prospecting,1,Prospecting,2
2,Prospecting,2,Qualifying,3
2,Qualifying,3,Qualifying,4
2,Qualifying,4,Qualifying,5
2,Qualifying,5,Qualifying,6
2,Qualifying,6,Proposing,7
2,Proposing,7,Qualifying,8
2,Qualifying,8,Proposing,9
2,Proposing,9,Closing,10
2,Closing,10,Closing,11
2,Closing,11,Proposing,12
2,Proposing,12,Negotiating,13
2,Negotiating,13,Negotiating,14
2,Negotiating,14,Proposing,15
2,Proposing,15,Negotiating,16
2,Negotiating,16,Negotiating,17
2,Negotiating,17,Negotiating,18
2,Negotiating,18,Negotiating,19
2,Negotiating,19,Negotiating,20
2,Negotiating,20,Negotiating,21
2,Negotiating,21,Negotiating,22
2,Negotiating,22,Negotiating,23
2,Negotiating,23,Negotiating,24
2,Negotiating,24,Proposing,25
2,Proposing,25,Negotiating,26
2,Negotiating,26,Closing,27
2,Closing,27,Maintaining,28
3,Prospecting,1,Prospecting,2
3,Prospecting,2,Qualifying,3
3,Qualifying,3,Qualifying,4
3,Qualifying,4,Proposing,5
3,Proposing,5,Closing,6
3,Closing,6,Closing,7
3,Closing,7,Prospecting,8
3,Prospecting,8,Qualifying,9
3,Qualifying,9,Proposing,10
3,Proposing,10,Negotiating,11
3,Negotiating,11,Proposing,12
3,Proposing,12,Negotiating,13
3,Negotiating,13,Negotiating,14
3,Negotiating,14,Negotiating,15
3,Negotiating,15,Closing,16
3,Closing,16,Maintaining,17
4,Prospecting,1,Qualifying,2
4,Qualifying,2,Proposing,3
4,Proposing,3,Negotiating,4
4,Negotiating,4,Proposing,5
4,Proposing,5,Proposing,6
4,Proposing,6,Qualifying,7
4,Qualifying,7,Qualifying,8
4,Qualifying,8,Qualifying,9
4,Qualifying,9,Proposing,10
4,Proposing,10,Proposing,11
4,Proposing,11,Negotiating,12
4,Negotiating,12,Closing,13
4,Closing,13,Maintaining,14
5,Prospecting,1,Qualifying,2
5,Qualifying,2,Qualifying,3
5,Qualifying,3,Qualifying,4
5,Qualifying,4,Qualifying,5
5,Qualifying,5,Proposing,6
5,Proposing,6,Proposing,7
5,Proposing,7,Proposing,8
5,Proposing,8,Closing,9
5,Closing,9,Closing,10
5,Closing,10,Maintaining,11
6,Prospecting,1,Qualifying,2
6,Qualifying,2,Proposing,3
6,Proposing,3,Proposing,4
6,Proposing,4,Closing,5
6,Closing,5,Maintaining,6
7,Prospecting,1,Prospecting,2
7,Prospecting,2,Qualifying,3
7,Qualifying,3,Proposing,4
7,Proposing,4,Qualifying,5
7,Qualifying,5,Qualifying,6
7,Qualifying,6,Proposing,7
7,Proposing,7,Negotiating,8
7,Negotiating,8,Negotiating,9
7,Negotiating,9,Negotiating,10
7,Negotiating,10,Negotiating,11
7,Negotiating,11,Negotiating,12
7,Negotiating,12,Proposing,13
7,Proposing,13,Proposing,14
7,Proposing,14,Closing,15
7,Closing,15,Maintaining,16
8,Prospecting,1,Prospecting,2
8,Prospecting,2,Prospecting,3
8,Prospecting,3,Prospecting,4
8,Prospecting,4,Qualifying,5
8,Qualifying,5,Qualifying,6
8,Qualifying,6,Qualifying,7
8,Qualifying,7,Proposing,8
8,Proposing,8,Qualifying,9
8,Qualifying,9,Qualifying,10
8,Qualifying,10,Proposing,11
8,Proposing,11,Negotiating,12
8,Negotiating,12,Closing,13
8,Closing,13,Proposing,14
8,Proposing,14,Proposing,15
8,Proposing,15,Negotiating,16
8,Negotiating,16,Proposing,17
8,Proposing,17,Proposing,18
8,Proposing,18,Closing,19
8,Closing,19,Maintaining,20
9,Prospecting,1,Qualifying,2
9,Qualifying,2,Qualifying,3
9,Qualifying,3,Proposing,4
9,Proposing,4,Proposing,5
9,Proposing,5,Negotiating,6
9,Negotiating,6,Proposing,7
9,Proposing,7,Qualifying,8
9,Qualifying,8,Proposing,9
9,Proposing,9,Proposing,10
9,Proposing,10,Negotiating,11
9,Negotiating,11,Closing,12
9,Closing,12,Maintaining,13
10,Prospecting,1,Prospecting,2
10,Prospecting,2,Prospecting,3
10,Prospecting,3,Qualifying,4
10,Qualifying,4,Proposing,5
10,Proposing,5,Closing,6
10,Closing,6,Maintaining,7
