Current State,Current Step Number,Next State,Next Step Number
Prospecting,1,Prospecting,2
Prospecting,2,Prospecting,3
Prospecting,3,Qualifying,4
Qualifying,4,Qualifying,5
Qualifying,5,Qualifying,6
Qualifying,6,Qualifying,7
Qualifying,7,Qualifying,8
Qualifying,8,Qualifying,9
Qualifying,9,Qualifying,10
Qualifying,10,Proposing,11
Proposing,11,Proposing,12
Proposing,12,Proposing,13
Proposing,13,Proposing,14
Proposing,14,Qualifying,15
Qualifying,15,Proposing,16
Proposing,16,Negotiating,17
Negotiating,17,Proposing,18
Proposing,18,Negotiating,19
Negotiating,19,Proposing,20
Proposing,20,Negotiating,21
Negotiating,21,Negotiating,22
Negotiating,22,Negotiating,23
Negotiating,23,Negotiating,24
Negotiating,24,Proposing,25
Proposing,25,Proposing,26
Proposing,26,Negotiating,27
Negotiating,27,Closing,28
Closing,28,Maintaining,29
